Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
RNASET2	21686	8635	Leukoencephalopathy, cystic, without megalencephaly	AR	Pediatric		Audiologic/Otolaryngologic; Neurologic	Audiologic/Otolaryngologic		Early recognition and treatment of hearing impairment may  possibly benefit developmental outcomes in some individuals, including speech and language development	9810556; 11589166; 15851732; 19525954
RNF135	21158	84282	Macrocephaly, macrosomia, facial dysmorphism syndrome	AD	N/A	N/A	Craniofacial; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17632510
RNF139	17023	11236	Renal cell carcinoma, clear cell	AD	Pediatric		Oncologic	Oncologic	Genomic disruptions have been reported	Surveillance and early detection of and treatment for malignancy (a number of cancer types have been described, including renal cell cancer and dysgerminoma) may decrease morbidity and mortality	17539022; 19642973 
RNF168	26661	165918	RIDDLE syndrome	AR	Pediatric		Allergy/Immunology/Infectious; Craniofacial; Musculoskeletal; Neurologic; Oncologic	Allergy/Immunology/Infectious; Oncologic	It has been suggested that heterozygotes may demonstrate an increased risk of oncologic processes as well	Individuals have been described with immunodefiency, as well as radiosensitivity, and thus preventive measures and prophylaxis and early and aggressive treatment of infections may be warranted	17940005; 19203578; 21394101 
RNF213	14539	57674	Moyamoya disease 2	AD/AR	Adult		Cardiovascular	Cardiovascular	Individuals with biallelic mutations typically have earlier onset of manifestations	The condition can manifest with transient ischemic attacks, cerebral infarction, and intracranial hemorrhage, and surveillance, preventive measures and early medical treatment may ameliorate/prevent severe sequelae	21048783; 22377813; 22931863 
RNF216	21698	54476	Cerebellar ataxia and hypogonadotropic hypogonadism	AR	Pediatric		Endocrine; Neurologic	Endocrine		Individuals have been described with response to medical treatment (eg, exogenous GnRH therapy), though with progressive loss of pituitary function such that response to treatment decreased and was lost later in the course of disease	11932290; 23656588
RNU4ATAC	34016	100151683	Microcephalic osteodysplastic primordial dwarfism, type I (Taybi-Linder syndrome)	AR	N/A	N/A	Craniofacial; Dermatologic; Musculoskeletal; Neurologic; Renal	General	The condition can involve multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	934161; 984702; 9800907; 12571786; 21474760; 21474761; 22581640
ROBO2	10250	6092	Congenital anomalies of the kidney and urinary tract	AD	Pediatric		Renal	Renal		Monitoring and intervention related to vesicoureteral reflux may be beneficial in terms of helping to preserve renal function	17357069
ROBO3	13433	64221	Gaze palsy, horizontal, with progressive scoliosis	AR	N/A	N/A	Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	15105459; 16525029; 18829051; 19633821; 21592015; 21850172 
ROGDI	29478	79641	Kohlschutter-Tonz syndrome	AR	N/A	N/A	Dental; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	4372200; 16411202; 22482807; 22424600
ROR2	10257	4920	Robinow syndrome, autosomal recessive; Brachydactyly, type B1	AD/AR	N/A	N/A	Cardiovascular; Craniofacial; Genitourinary; Musculoskeletal; Renal	General	The condition can involve multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10932186; 10986040; 10932187; 10700182; 15952209; 17101003; 17256787; 18831060; 19533773; 19461659; 19640924; 20301418; 21496006; 22178368
RP1	10263	6101	Retinitis pigmentosa 1, autosomal dominant; Retinitis pigmentosa 1, autosomal recessive	AD/AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	1783394; 10391211; 10391212; 18552984; 19933189; 20664799; 21746989; 22052604; 22317909; 22321012; 22917891; 23077400 
RP1L1	15946	94137	Occult macular dystrophy; Retinitis pigmentosa, autosomal recessive	AD/AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	2774037; 8909203; 10670483; 12664360; 17317401; 20826268; 22466457; 23281133
RP2	10274	6102	Retinitis pigmentosa 2	XL	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9697692; 10053026; 10942419; 11462235; 12417528; 20021257; 20625056; 21738648 
RP9	10288	6100	Retinitis pigmentosa 9	AD	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8513323; 12032732
RPE65	10294	6121	Retinitis pigmentosa 20; Leber congenital amaurosis 2	AR	N/A	N/A	Ophthalmologic	General	Gene therapy has been described in Leber congenital amaurosis 2, with increased effectiveness early	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	13616783; 9326941; 9326927; 9501220; 12960219; 14962443; 15557452; 18441371; 18809924; 19675341; 18441370; 18774912; 19854499; 20006823; 22323828; 22644094; 23341016; 23341635; 23474247
RPGR	10295	6103	Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness	XL	Pediatric	Allelic with Cone-rod dystrophy, X-linked, 1 (XL); Macular degeneration, X-linked atrophic (XL); Retinitis pigmentosa 3 (XL)	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Ophthalmologic 	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic	Individuals can have hearing loss, some of which may be attributed to recurrent ear infections	Antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial: Individuals may demonstrate hearing loss at a relatively young age, and interventions related to recognition and management of hearing impairment may be beneficial	1733835; 7611300; 8673101; 8817343; 9350809; 9399904; 9443860; 10094550; 10970770; 10932196; 12160730; 11857109; 11950860; 11875055; 14627685; 14564670; 12657579; 12920075; 15914600; 16387007; 16055928; 17480003; 21857984; 21866333; 22183348 
RPGRIP1	13436	57096	Leber congenital amaurosis 6; Cone-rod dystrophy 13	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11283794; 11528500; 12920076; 20006823; 20301475 
RPGRIP1L	29168	23322	Meckel syndrome, type 5; Joubert syndrome 7; COACH syndrome; Retinal degeneration in ciliopathy, modifier of	AD/AR	N/A	N/A	Craniofacial; Gastrointestinal; Musculoskeletal; Neurologic; Ophthalmologic; Renal	General	The condition may involve multi-systemic manifestations, including sequelae affecting the renal and hepatic systems, and surveillance and avoidance of certain medications (eg, nephrotoxic agents) may be beneficial; Variants may modify severity of BBS and related disorders due to mutations in other BBS-associated genes, as well as Leber congenital amaurosis 1	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17558407; 17558409; 18565097; 19430481; 19574260; 20301500 
RPIA	10297	22934	Ribose 5-phosphate isomerase deficiency	AR	N/A	N/A	Biochemical; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	14988808
RPL11	10301	6135	Diamond-Blackfan anemia 7	AD	Pediatric		Cardiovascular; Craniofacial; Hematologic; Musculoskeletal; Oncologic; Renal	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; Surveillance for and early treatment of malignancy may allow early detection and management; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 19061985; 20301769; 23718193
RPL26	10327	6154	Diamond-Blackfan anemia 11	AD	Pediatric		Audiologic/Otolaryngologic; Cardiovascular; Craniofacial; Hematologic; Musculoskeletal; Oncologic; Renal	Hematologic; Oncologic		Individuals may manifest with severe, transfusion dependent anemia, as well as profound neutropenia, and medical treatment (eg, with corticosteroids) has been reported as beneficial; Surveillance for and early treatment of malignancy may allow early detection and management; Awareness of the hearing loss may allow early interventions related to speech and language development; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 17186470; 18535205; 19061985; 20116044; 20301769; 22431104
RPL35A	10345	6165	Diamond-Blackfan anemia 5	AD	Pediatric		Craniofacial; Hematologic; Oncologic	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 18535205; 20301769
RPL5	10360	6125	Diamond-Blackfan anemia 6	AD	Pediatric		Cardiovascular; Craniofacial; Hematologic; Musculoskeletal; Oncologic; Renal	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; Surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 5764780; 19061985; 20301769; 23718193
RPS10	10383	6204	Diamond-Blackfan anemia 9	AD	Pediatric		Craniofacial; Hematologic; Oncologic	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; Surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 20116044; 20301769
RPS17	10397	6218	Diamond-Blackfan anemia 4	AD	Pediatric		Craniofacial; Hematologic; Musculoskeletal; Oncologic	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; Surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 17647292; 19061985; 20301769; 23718193
RPS19	10402	6223	Diamond-Blackfan anemia 1	AD	Pediatric		Cardiovascular; Craniofacial; Hematologic; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic; Renal	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	13722603; 16317735; 276838; 273451; 1958491; 8826887; 9988267; 10541318; 10590074; 16741228; 19061985; 20301769; 23812780
RPS24	10411	6229	Diamond-Blackfan anemia 3	AD	Pediatric		Cardiovascular; Craniofacial; Hematologic; Oncologic	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 17186470; 20301769
RPS26	10414	6231	Diamond-Blackfan anemia 10	AD	Pediatric		Craniofacial;Hematologic; Musculoskeletal; Oncologic	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 20116044; 20301769
RPS6KA3	10432	6197	Coffin-Lowry syndrome; Mental retardation, X-linked 19	XL	Pediatric		Audiologic/Otolaryngologic; Cardiovascular; Craniofacial; Neurologic	Audiologic/Otolaryngologic; Cardiovascular; Neurologic		The condition can include premature death from cardiovascular complications, including cardiomyopathy, and surveillance (including with echocardiogram and electrocardiogram) may allow early medical management ; The condition may include hearing deficits, and surveillance may be beneficial; Medical management of stimulus-induced drop attacks (eg, with valproate, clonazepam, or SSRIs) may be beneficial, as are measures to prevent injuries from related falls	5581017; 5052411; 1133653,; 146889; 7681250; 7943043; 9719387; 9832033; 9744638; 10528858; 10319851; 11160957; 12210291; 15214012; 16879200; 17100996; 17318637; 19888300; 20301520; 20637903; 21614984; 22009732; 22490425 
RPS7	10440	6201	Diamond-Blackfan anemia 8	AD	Pediatric		Craniofacial; Hematologic; Oncologic	Hematologic; Oncologic		Specific treatment of anemia (eg, steroids, regular transfusions) can be effective; surveillance for and early treatment of malignancy may be beneficial; Individuals with DBA may manifest a variety of congenital malformations, and awareness may allow prompt detection and management	16317735; 19061985; 20301769; 23718193
RRM2B	17296	50484	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 5; Mitochondrial DNA depletion syndrome 8A; Mitochondrial DNA depletion syndrome 8B	AD/AR	N/A	N/A	Biochemical; Gastrointestinal; Musculoskeletal; Neurologic; Renal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17486094; 19667227; 19138848; 19664747 
RS1	10457	6247	Retinoschisis 1, X-linked, juvenile	XL	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9326935;  9618178; 10636740; 10533068; 10922205; 10636421; 15531314; 15937075; 17304551; 17172462; 17296904; 20061330
RSPH1	12371	89765	Ciliary dyskinesia, primary, 24	AR	Pediatric		Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Genitourinary; Pulmonary	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Pulmonary		Pulmonary and audiologic surveillance may be beneficial to assess respiratory  and hearing function and institute early management measures; In order to facilitate mucus clearance, aggressive interventions (eg, chest percussion and oscillatory vest), as well as vaccinations and early and aggressive treatment of  respiratory infections may be beneficial	20301301; 23993197
RSPH4A	21558	345895	Ciliary dyskinesia, primary, 11	AR	Pediatric		Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Pulmonary	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Pulmonary		Pulmonary and audiologic surveillance may be beneficial to assess respiratory  and hearing function and institute early management measures; In order to facilitate mucus clearance, aggressive interventions (eg, chest percussion and oscillatory vest), as well as vaccinations and early and aggressive treatment of  respiratory infections may be beneficial, though measures including lobectomy or lung transplantation may be necessary	19200523; 20301301
RSPH9	21057	221421	Ciliary dyskinesia, primary, 12	AR	Pediatric		Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Genitourinary;  Pulmonary	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Pulmonary		Pulmonary and audiologic surveillance may be beneficial to assess respiratory  and hearing function and institute early management measures; In order to facilitate mucus clearance, aggressive interventions (eg, chest percussion and oscillatory vest), as well as vaccinations and early and aggressive treatment of  respiratory infections may be beneficial, though measures including lobectomy or lung transplantation may be necessary	19200523; 20301301
RSPO1	21679	284654	Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and 46,XX sex reversal	AR	Adult		Audiologic/Otolaryngologic; Dermatologic; Endocrine; Genitourinary; Oncologic; Ophthalmologic	Genitourinary; Oncologic 		Surveillance/treatment of gonadal tumors and specific malignancies may improve outcome	17041600; 18085567
RSPO4	16175	343637	Anonychia/hyponychia congenita	AR	N/A	N/A	Dermatologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	4702713; 17186469; 17041604; 17914448; 18070203; 22300369 
RTEL1	15888	51750	Dyskeratosis congenita, autosomal dominant 4 (AD); Dyskeratosis congenita, autosomal recessive, 5 (AR)	AD/AR	Pediatric		Allergy/Immunology/Infectious; Dermatologic; Endocrine; Gastrointestinal; Hematologic; Neurologic;  Oncologic; Pulmonary	Allergy/Immunology/Infectious; Hematologic; Oncologic; Pulmonary		Affected individuals have been described with a number of hematopoietic manifestations, including anemia and thrombocytopenia, and have frequently been reported as suffering from bone marrow failure; Individuals may be at increased risk of oncologic processes, and awareness may allow early detection and treatment; HSCT has been described	19461895; 23329068; 23453664; 23591994; 23959892
RTN2	10468	6253	Spastic paraplegia 12, autosomal dominant	AD	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10677333; 12427890; 22232211
RTTN	18654	25914	Polymicrogyria with seizures	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	22939636
RUNX1	10471	861	Platelet disorder, familial, with associated myeloid malignancy	AD	Pediatric		Hematologic; Oncologic	Hematologic; Oncologic		Individuals can have thrombocytopenia and bleeding episodes (eg, associated with surgical procedures), and awareness may allow preventive measures as well as prompt treatment; There is a reported increased risk of malignancy (such as acute myelogenous leukemia), and awareness may allow surveillance measures enabling early detection and management, which may be beneficial; BMT has been reported	10508512; 11830488; 18478040; 19357396; 19387465; 20846103; 22571758 
RUNX2	10472	860	Cleidocranial dysplasia; Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly	AD	N/A	N/A	Craniofacial; Dental; Musculoskeletal	General	Duplications including the gene have also been reported as resulting in additional skeletal anomalies such as craniosynostosis	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	14818746; 2301472;  9182765; 10545612; 11746020; 12424590; 16222673; 15952089; 20301686; 20683987; 21734816; 22023169; 22194205; 23220435; 23290074; 23348268; 23558979; 23659235
RXFP2	17318	122042	Cryptorchidism	AD	N/A	N/A	Genitourinary	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	12217959; 12970298
RYR1	10483	6261	Malignant hyperthermia, susceptibility 1; Central core disease; Minicore myopathy; Multicore myopathy; Minicore myopathy with external ophthalmoplegia; Centronuclear myopathy (individuals with these conditions may also be at risk of malignant hyperthermia)	AD/AR	Pediatric		Cardiovascular; Musculoskeletal; Renal	Cardiovascular; Musculoskeletal; Renal; Pharmacogenomic		Individuals with recessive inheritance have been described; Invididuals are susceptible to malignant hyperthermic crisis (which can affect both skeletal muscle and cardiac function) in a number of situations, including when exposed to specific agents such as certain agents used in anesthesia (eg, halothane) or depolarizing muscle relaxants (eg, succinyl choline), and to treat or prevent acute crises, dantrolene can be effective; Individuals may also suffer from exertional rhabdomyolysis or have attacks triggered by tachycardia or acidosis, and precautions may be beneficial;  For: Central core disease; Minicore myopathy; Multicore myopathy; Minicore myopathy with external ophthalmoplegia; Centronuclear myopathy, individuals with these conditions may also be at risk of malignant hyperthermia, and appropriate precautions may be beneficial	13396066; 637752; 7362206; 7299413; 6348539; 1774074; 8220423; 8220422; 9199552; 9497245; 10097181; 11113224; 11389482; 11448278; 12112081; 12136074; 12467748; 12719381; 14732627; 16380615; 16163667; 16084090; 17190947; 17376685; 18253926; 17538032; 19303294; 19734047; 19807743; 20301565; 20301325; 20839240 
RYR2	10484	6262	Ventricular tachycardia, catecholaminergic polymorphic, 1; Arrhythmogenic right ventricular dysplasia 2  	AD	Pediatric		Cardiovascular	Cardiovascular		Mortality is high in untreated Ventricular tachycardia, catecholaminergic polymorphic, 1, and treatment (eg, beta-blockers without sympathomimetic activity) can be effective to reduce syncope, but ICD placement may be needed; In ARVD2, individuals may manifest with syncope, cardiac arrest, and sudden death, and surveillance may allow early diagnosis of sequelae; Preventive measures (eg, with antiarrhythmic pharmacologic agents and/or ICD placement) may be beneficial, though some individuals may require heart transplantation 	11157710; 11208676; 11159936; 17875969; 20301310; 19926015
SACS	10519	26278	Spastic ataxia, Charlevoix-Saguenay type	AR	N/A	N/A	Cardiovascular; Musculoskeletal;  Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10655055; 12873855; 14718706; 14718708; 15985586; 18398442; 20876471; 21745802; 21993619; 22209141; 22892508 
SAG	10521	6295	Retinitis pigmentosa 47; Oguchi disease 1	AR	N/A	N/A	Ophthalmologic	General		Manifesting heterozygotes have been described; Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7670478; 9565049; 21447990; 21494281; 21987685; 22665972 
SALL1	10524	6299	Townes-Brocks syndrome	AD	Pediatric		Audiologic/Otolaryngologic; Cardiovascular; Craniofacial; Endocrine; Gastrointestinal; Genitourinary; Musculoskeletal; Renal	Audiologic/Otolaryngologic; Cardiovascular; Endocrine; Renal	The condition may be recognizable due to the presence of a specific pattern of congenital malformations affecting hearing as well as multiple organ systems	While frequently recognizable, early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; Surveillance for manifestations affecting other organ systems (eg, cardiac, endocrine, and renal) may allow early intervention, potentially reducing morbidity and mortality	5042490; 9072124; 9425907; 10928856; 11484202; 14755477; 16088922; 8000979; 17431915; 20301618 
SALL4	15924	57167	Duane-radial ray/Okohiro syndrome; Acro-Renal-Ocular syndrome	AD	Pediatric		Audiologic/Otolaryngologic; Cardiovascular; Craniofacial; Endocrine; Gastrointestinal; Musculoskeletal; Ophthalmologic; Renal	Audiologic/Otolaryngologic; Renal	The conditions can include multiple congenital anomalies	Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; Individuals have been described with vesicoureteral reflux, and surveillance and management may be helpful to preserve renal function	843249; 7395922; 12395297; 11826030; 12393809; 12789647; 12843316; 12868480; 15342710; 16086360; 16402211; 16411190; 17256792; 20301547 
SAMD9	1348	54809	Tumoral calcinosis, normophosphatemic	AR	Pediatric		Allergy/Immunology/Infectious; Dental; Dermatologic; Musculoskeletal; Ophthalmologic	Allergy/Immunology/Infectious; Musculoskeletal		Surveillance/early treatment of tumoral calcinosis may reduce morbidity	3366131; 15133511; 16960814; 18094730 
SAMHD1	15925	25939	Aicardi-Goutieres syndrome 5	AR	Pediatric	Allelic with Chilblain lupus 2 (AD)	Cardiovascular; Dermatologic; Gastrointestinal; Hematologic; Neurologic	Cardiovascular		For Aicardi-Goutieres syndrome related to mutations in SAMHD1, it has been suggested that individuals should be actively screened for intracranial arteriopathy in order to allow prompt intervention, which may reduce morbidity and mortality	19525956; 20301648; 20358604; 20653736; 20842748; 21102625; 21402907; 21204240; 21633013; 22149989
SAR1B	10535	51128	Chylomicron disease (Anderson disease)	AR	Pediatric		Gastrointestinal; Musculoskeletal; Neurologic	Gastrointestinal		Individuals typically present in infancy with with steatorrhea and failure to thrive, and dietary measures (maintenance of adequate caloric intake on a low-long chain fat diet consisting of polyunsaturated fatty acids, with supplementation of lipid soluble vitamins, including large amounts of vitamin E, and essential fatty acids) can be beneficial 	2426307; 3792776; 7601203; 10521380; 10665502; 12692552; 17309654; 20920215 
SARS2	17697	54938	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis	AR	N/A	N/A	Endocrine; Neurologic; Renal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21255763
SART3	16860	9733	Porokeratosis, disseminated superficial actinic, 1	AD	N/A	N/A	Dermatologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	15840095
SATB2	21637	23314	Cleft palate and mental retardation (Glass syndrome)	AD	N/A	N/A	Craniofacial; Dental; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17377962; 19170718; 19668335; 22521361; 23925499
SBDS	19440	51119	Shwachman-Diamond syndrome; Aplastic anemia	AD/AR	Pediatric		Allergy/Immunology/Infectious; Gastrointestinal; Hematologic; Musculoskeletal; Oncologic	Allergy/Immunology/Infectious; Gastrointestinal; Hematologic; Oncologic	Heterozygous mutations can result in incompletely penetrant aplastic anemia	In Aplastic anemia, surveillance and prompt treatment of aplastic anemia and bone marrow failure, as well as associated myelodysplasia, which has been reported, may reduce morbidity; BMT and HSCT have been reported; In Shwachman-Diamond syndrome, medical treatment (eg, pancreatic enzymes, fat-soluble vitamins) can be effective to treat pancreatic exocrine insufficiency; Blood/platelet transfusions may be necessary; Due to neutropenia and infectious risk, G-CSF and other prophylactic measures (eg antibiotics), as well as early and aggressive treatment of infections, may be beneficial, but prolonged use of agents such as G-CSF may have adverse effects; Regular surveillance for hematologic anomalies is recommended; Awareness of the risk of malignant transformation may allow early detection and management; HSCT use has been reported	14221166; 7264801; 8942739; 8759887; 9359520; 10467990; 10393609; 12183725; 12496757; 14984468; 15769891; 17376717; 17400792; 17478638; 17916435; 20301722; 22554078; 22992231; 23305959; 23351992
SBF2	2135	81846	Charcot-Marie-Tooth disease, type 4B2 with early-onset glaucoma	AR	Pediatric		Audiologic/Otolaryngologic; Neurologic; Ophthalmologic	Ophthalmologic; Pharmacogenomic	Several families with CMT4B2 with early-onset glaucoma have been reported; One report has also described homozygous variants associated with Congenital thrombocytopenia, autosomal recessive	Open-angle glaucoma is typically asymptomatic until  late stages, when irreversible  nerve damage has already taken place; As the condition may include early-onset hearing loss, intervention related to speech and language development may be beneficial; Agents that may contribute to glaucoma should be avoided	9521281; 10932274; 12687498; 12554688; 15477569; 15304601; 23334996 
SC5D	10547	6309	Lathosterolosis	AR	N/A	N/A	Biochemical; Craniofacial; Gastrointestinal; Musculoskeletal; Neurologic	General	The condition can involve multiple congenital anomalies; Lipid storage has been reported as being aggravated by supplemental cholesterol	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	12189593; 12812989; 17853487; 19123163 
SCARB2	1665	950	Epilepsy, progressive myoclonic 4, with or without renal failure	AR	N/A	N/A	Cardiovascular; Neurologic; Renal	General	In addition to other manifestations, renal dysfunction and cardiomyopathy have been reported; Renal transplant has been described	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	15364701; 17030781; 18424452; 18308289; 19847901; 21782476; 21670406; 22032306; 22050460; 22767442 
SCARF2	19869	91179	Van den Ende-Gupta syndrome	AR	N/A	N/A	Craniofacial; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	20887961
SCN1A	10585	6323	Migraine, familial hemiplegic 3	AD	Pediatric	Allelic with Dravet syndrome (AD); Generalized epilepsy with febrile seizures plus, type 2 (AD), Febrile seizures, familial 3A (AD)	Neurologic	Neurologic; Pharmacogenomic		Vasoconstricting agents (due to risk of stroke) and cerebral angiograophy (due to risk of precipitation of attack) should be avoided	10486327; 10852559; 10742094; 11524484; 15277634; 16054936; 16326807; 16505326; 17190949; 17347258; 20301562; 19522081; 19332696
SCN1B	10586	6324	Atrial fibrillation, familial 13; Brugada syndrome 5	AD	Pediatric	Allelic with Generalized epilepsy with febrile seizures plus, type 1 (AD)	Cardiovascular; Neurologic	Cardiovascular; Pharmacogenomic		In Atrial fibrillation, surveillance (eg, with echocardiogram and electrocardiogram) may allow early medical and/or surgical management (eg, atrioventricular nodal ablation followed by dual-chamber pacemaker implantation has been described), which may be beneficial; In Brugada syndrome, surveillance with approximately yearly EKG and medical interventions, including daily quinidine for prevention (though treatment of asymptomatic individuals is controversial), ICD placement in individuals with previous cardiac arrest/syncope, and isoproterenol for electrical storms, may be beneficial;  Certain agents should be avoided, including medications such as certain anesthetics, antidepressants, and antipsychotics, and care should be taken in the instance of high fever	9697698; 12011299; 14504340; 18464934; 19808477; 20301690
SCN2A	10588	6326	Epileptic encephalopathy, early infantile, 11; Seizures, benign familial infantile, 3	AD	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	6660252; 3508699; 8734025; 11326335; 15048894; 15028761; 19786696; 20956790; 22029951; 22591750; 22612257; 23020937 
